  0.0,-3813477954,3554276552,3662785237
  0.1,-3813477599,3554276226,3662785918
  0.2,-3813477240,3554275906,3662786598
  0.3,-3813476876,3554275590,3662787278
  0.4,-3813476508,3554275280,3662787958
  0.5,-3813476135,3554274975,3662788638
  0.6,-3813475757,3554274675,3662789318
  0.7,-3813475375,3554274381,3662789997
  0.8,-3813474988,3554274091,3662790676
  0.9,-3813474597,3554273807,3662791355
  1.0,-3813474201,3554273528,3662792033
  1.1,-3813473800,3554273255,3662792711
  1.2,-3813473396,3554272986,3662793388
  1.3,-3813472986,3554272723,3662794065
  1.4,-3813472573,3554272466,3662794741
  1.5,-3813472155,3554272213,3662795416
  1.6,-3813471733,3554271967,3662796091
  1.7,-3813471306,3554271725,3662796764
  1.8,-3813470875,3554271489,3662797438
  1.9,-3813470440,3554271258,3662798110
  2.0,-3813470001,3554271033,3662798781
  2.1,-3813469557,3554270814,3662799452
  2.2,-3813469110,3554270599,3662800121
  2.3,-3813468658,3554270391,3662800790
  2.4,-3813468202,3554270187,3662801457
  2.5,-3813467742,3554269990,3662802123
  2.6,-3813467278,3554269798,3662802788
  2.7,-3813466810,3554269611,3662803452
  2.8,-3813466338,3554269430,3662804114
  2.9,-3813465862,3554269254,3662804776
  3.0,-3813465383,3554269084,3662805436
  3.1,-3813464899,3554268920,3662806094
  3.2,-3813464412,3554268761,3662806751
  3.3,-3813463920,3554268608,3662807407
  3.4,-3813463425,3554268461,3662808061
  3.5,-3813462927,3554268319,3662808713
  3.6,-3813462424,3554268183,3662809364
  3.7,-3813461918,3554268053,3662810013
  3.8,-3813461409,3554267928,3662810660
  3.9,-3813460895,3554267809,3662811306
  4.0,-3813460379,3554267695,3662811950
  4.1,-3813459858,3554267587,3662812592
  4.2,-3813459335,3554267485,3662813232
  4.3,-3813458807,3554267389,3662813870
  4.4,-3813458277,3554267298,3662814506
  4.5,-3813457743,3554267213,3662815140
  4.6,-3813457205,3554267134,3662815772
  4.7,-3813456665,3554267061,3662816402
  4.8,-3813456121,3554266993,3662817030
  4.9,-3813455574,3554266931,3662817655
  5.0,-3813455023,3554266875,3662818278
  5.1,-3813454470,3554266825,3662818899
  5.2,-3813453913,3554266780,3662819518
  5.3,-3813453354,3554266741,3662820134
  5.4,-3813452791,3554266708,3662820748
  5.5,-3813452226,3554266680,3662821359
  5.6,-3813451657,3554266659,3662821968
  5.7,-3813451085,3554266643,3662822575
  5.8,-3813450511,3554266633,3662823178
  5.9,-3813449934,3554266628,3662823779
  6.0,-3813449354,3554266630,3662824378
  6.1,-3813448771,3554266637,3662824973
  6.2,-3813448186,3554266650,3662825566
  6.3,-3813447598,3554266669,3662826156
  6.4,-3813447007,3554266693,3662826744
  6.5,-3813446414,3554266723,3662827328
  6.6,-3813445818,3554266759,3662827910
  6.7,-3813445220,3554266801,3662828488
  6.8,-3813444619,3554266849,3662829064
  6.9,-3813444016,3554266902,3662829636
  7.0,-3813443410,3554266961,3662830206
  7.1,-3813442802,3554267026,3662830772
  7.2,-3813442192,3554267096,3662831335
  7.3,-3813441579,3554267173,3662831895
  7.4,-3813440965,3554267255,3662832451
  7.5,-3813440348,3554267342,3662833005
  7.6,-3813439729,3554267436,3662833555
  7.7,-3813439108,3554267535,3662834102
  7.8,-3813438485,3554267640,3662834645
  7.9,-3813437859,3554267750,3662835185
  8.0,-3813437232,3554267867,3662835721
  8.1,-3813436603,3554267988,3662836254
  8.2,-3813435973,3554268116,3662836783
  8.3,-3813435340,3554268249,3662837309
  8.4,-3813434706,3554268388,3662837831
  8.5,-3813434069,3554268533,3662838350
  8.6,-3813433432,3554268683,3662838865
  8.7,-3813432792,3554268839,3662839376
  8.8,-3813432151,3554269000,3662839883
  8.9,-3813431508,3554269167,3662840387
  9.0,-3813430864,3554269340,3662840886
  9.1,-3813430219,3554269518,3662841382
  9.2,-3813429572,3554269702,3662841874
  9.3,-3813428923,3554269891,3662842362
  9.4,-3813428274,3554270086,3662842846
  9.5,-3813427623,3554270287,3662843326
  9.6,-3813426970,3554270493,3662843802
  9.7,-3813426317,3554270704,3662844274
  9.8,-3813425662,3554270921,3662844742
  9.9,-3813425007,3554271143,3662845206
 10.0,-3813424350,3554271371,3662845665
 10.1,-3813423692,3554271605,3662846121
 10.2,-3813423033,3554271843,3662846572
 10.3,-3813422374,3554272087,3662847019
 10.4,-3813421713,3554272337,3662847461
 10.5,-3813421052,3554272592,3662847900
 10.6,-3813420390,3554272852,3662848334
 10.7,-3813419727,3554273118,3662848763
 10.8,-3813419063,3554273389,3662849188
 10.9,-3813418399,3554273665,3662849609
 11.0,-3813417734,3554273946,3662850025
 11.1,-3813417069,3554274233,3662850437
 11.2,-3813416403,3554274525,3662850844
 11.3,-3813415737,3554274822,3662851247
 11.4,-3813415070,3554275125,3662851645
 11.5,-3813414403,3554275432,3662852038
 11.6,-3813413735,3554275745,3662852427
 11.7,-3813413068,3554276063,3662852811
 11.8,-3813412400,3554276386,3662853190
 11.9,-3813411731,3554276714,3662853565
 12.0,-3813411063,3554277047,3662853935
 12.1,-3813410395,3554277385,3662854300
 12.2,-3813409726,3554277728,3662854661
 12.3,-3813409058,3554278077,3662855016
 12.4,-3813408390,3554278430,3662855367
 12.5,-3813407721,3554278788,3662855713
 12.6,-3813407053,3554279151,3662856054
 12.7,-3813406385,3554279519,3662856390
 12.8,-3813405718,3554279892,3662856721
 12.9,-3813405050,3554280269,3662857047
 13.0,-3813404383,3554280652,3662857368
 13.1,-3813403717,3554281039,3662857684
 13.2,-3813403050,3554281431,3662857996
 13.3,-3813402384,3554281828,3662858302
